taxonid,topt,hidden,name,fname,assembly,phylum,subdivision,class,order,family,genus
36738,40.0,0,Halococcus salifodinae,Halococcus_salifodinae,GCA_000336935.1_ASM33693v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus
255616,35.0,0,Haloferax sulfurifontis,Haloferax_sulfurifontis,GCA_000337835.1_ASM33783v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
114529,37.0,0,Haloferax alexandrinus,Haloferax_alexandrinus,GCA_000336735.1_ASM33673v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
35745,37.0,0,Haloferax denitrificans,Haloferax_denitrificans,GCA_000337795.1_ASM33779v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
35746,37.0,0,Haloferax gibbonsii,Haloferax_gibbonsii,GCA_000336775.1_ASM33677v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
2254,37.0,0,Haloferax lucentense,Haloferax_lucentense,GCA_000336795.1_ASM33679v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
1227462,37.0,0,Haloferax sp. ATCC BAA-644,Haloferax_sp._ATCC_BAA-644,GCA_000336975.1_ASM33697v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
523841,38.0,0,Haloferax mediterranei ATCC 33500,Haloferax_mediterranei,GCA_000306765.2_ASM30676v2,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
302484,43.0,0,Haloferax larsenii,Haloferax_larsenii,GCA_000336955.1_ASM33695v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
381852,43.0,0,Haloferax prahovense,Haloferax_prahovense,GCA_000336815.1_ASM33681v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
309800,45.0,0,Haloferax volcanii DS2,Haloferax_volcanii,GCA_000025685.1_ASM2568v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
403191,47.0,0,Haloferax elongans,Haloferax_elongans,GCA_000336755.1_ASM33675v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
403181,48.0,0,Haloferax mucosum,Haloferax_mucosum,GCA_000337815.1_ASM33781v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax
469382,40.0,0,Halogeometricum borinquense DSM 11551,Halogeometricum_borinquense,GCA_000172995.2_ASM17299v2,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halogeometricum
693851,37.0,0,Halogranum salarium,Halogranum_salarium,GCA_000283335.1_162.HSB1.1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halogranum
1380430,37.0,0,Halolamina rubra,Halolamina_rubra,GCA_000739555.1_ASM73955v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halolamina
437163,38.0,0,Halomicrobium katesii,Halomicrobium_katesii,GCA_000379085.1_ASM37908v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halomicrobium
485914,40.0,0,Halomicrobium mukohataei DSM 12286,Halomicrobium_mukohataei,GCA_000023965.1_ASM2396v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halomicrobium
